URL,size,outgoing links,content-type
https://www.nytimes.com/,218062,322,text/html; charset=utf-8
https://www.nytimes.com/section/insider,147290,156,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/science/santiago-ramon-y-cajal-beautiful-brain.html,78279,112,text/html; charset=utf-8
https://www.nytimes.com/video,193858,79,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/automobiles/autoreviews/video-review-the-honda-civic-is-back-as-a-hatchback.html,75635,103,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/style/kevin-durant-silicon-valley-golden-state-warriors.html,110985,135,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/business/energy-environment/nuclear-power-westinghouse-toshiba.html,92414,109,text/html; charset=utf-8
https://www.nytimes.com/video/movies/100000004929943/this-weeks-movies-feb-17-2017.html,210277,72,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/sports/basketball/nba-slam-dunk-contest-all-star.html,86447,116,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/world/asia/north-korea-malaysia-assassination-kim-jong-un-brother.html,77855,109,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/theater/escaped-alone-review.html,80657,105,text/html; charset=utf-8
https://www.nytimes.com/watching/lists/netflix-nature-documentaries-streaming,155575,47,text/html; charset=utf-8
https://www.nytimes.com/interactive/2017/02/17/insider/live-chat-live-chat-what-to-expect-from-the-oscars.html,31146,27,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/movies/a-cure-for-wellness-review.html,79427,101,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/dining/pork-chops.html,74631,99,text/html; charset=utf-8
https://www.nytimes.com/2017/02/16/science/seagrass-coral-reefs-pathogens-global-warming.html,98945,116,text/html; charset=utf-8
https://www.nytimes.com/2017/02/18/opinion/sunday/are-liberals-helping-trump.html,77214,101,text/html; charset=utf-8
https://www.nytimes.com/video/us/politics/100000004913471/fact-check-trumps-news-conference.html?playlistId=1194811622221,147558,79,text/html; charset=utf-8
https://www.nytimes.com/2017/02/17/nyregion/columbia-grad-school-acceptance-letters.html,75051,108,text/html; charset=utf-8
