17/03/21 05:15:11 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/21 05:15:11 INFO client.RMProxy: Connecting to ResourceManager at cluster-1-m/10.138.0.4:8032
17/03/21 05:15:12 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/21 05:15:15 INFO input.FileInputFormat: Total input paths to process : 3035
17/03/21 05:15:16 INFO mapreduce.JobSubmitter: number of splits:3035
17/03/21 05:15:16 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490065343913_0003
17/03/21 05:15:16 INFO impl.YarnClientImpl: Submitted application application_1490065343913_0003
17/03/21 05:15:16 INFO mapreduce.Job: The url to track the job: http://cluster-1-m:8088/proxy/application_1490065343913_0003/
17/03/21 05:15:16 INFO mapreduce.Job: Running job: job_1490065343913_0003
17/03/21 05:15:29 INFO mapreduce.Job: Job job_1490065343913_0003 running in uber mode : false
17/03/21 05:15:29 INFO mapreduce.Job:  map 0% reduce 0%
17/03/21 05:17:18 INFO mapreduce.Job:  map 1% reduce 0%
17/03/21 05:20:23 INFO mapreduce.Job:  map 2% reduce 0%
17/03/21 05:23:23 INFO mapreduce.Job:  map 3% reduce 0%
17/03/21 05:26:15 INFO mapreduce.Job:  map 4% reduce 0%
17/03/21 05:29:07 INFO mapreduce.Job:  map 5% reduce 0%
17/03/21 05:32:00 INFO mapreduce.Job:  map 6% reduce 0%
17/03/21 05:35:05 INFO mapreduce.Job:  map 7% reduce 0%
17/03/21 05:37:53 INFO mapreduce.Job:  map 8% reduce 0%
17/03/21 05:40:39 INFO mapreduce.Job:  map 9% reduce 0%
17/03/21 05:43:16 INFO mapreduce.Job:  map 10% reduce 0%
17/03/21 05:45:47 INFO mapreduce.Job:  map 11% reduce 0%
17/03/21 05:48:33 INFO mapreduce.Job:  map 12% reduce 0%
17/03/21 05:51:09 INFO mapreduce.Job:  map 13% reduce 0%
17/03/21 05:53:43 INFO mapreduce.Job:  map 14% reduce 0%
17/03/21 05:56:24 INFO mapreduce.Job:  map 15% reduce 0%
17/03/21 05:58:49 INFO mapreduce.Job:  map 16% reduce 0%
